kernel,randomized,working_set_bytes,block_size_bytes,backing_size_bytes,duration_secs,hash
scalar_stats,true,1048576,32,4294967296,0.00818904,1a3f09fd2ca55780
scalar_stats,true,1048576,64,4294967296,0.00125496,1a3f09fd2ca55780
scalar_stats,true,1048576,128,4294967296,0.0007055,1a3f09fd2ca55780
scalar_stats,true,1048576,256,4294967296,0.00065675,1a3f09fd2ca55780
scalar_stats,true,1048576,512,4294967296,0.00049525,1a3f09fd2ca55780
scalar_stats,true,1048576,1024,4294967296,0.000361333,1a3f09fd2ca55780
scalar_stats,true,1048576,2048,4294967296,0.00031125,1a3f09fd2ca55780
scalar_stats,true,1048576,4096,4294967296,0.000275792,1a3f09fd2ca55780
scalar_stats,true,1048576,8192,4294967296,0.000256834,1a3f09fd2ca55780
scalar_stats,true,1048576,16384,4294967296,0.000249792,1a3f09fd2ca55780
scalar_stats,true,1048576,32768,4294967296,0.000245458,1a3f09fd2ca55780
scalar_stats,true,1048576,65536,4294967296,0.000243667,1a3f09fd2ca55780
scalar_stats,true,1048576,131072,4294967296,0.000262416,1a3f09fd2ca55780
scalar_stats,true,1048576,262144,4294967296,0.000318791,1a3f09fd2ca55780
scalar_stats,true,1048576,524288,4294967296,0.000291875,1a3f09fd2ca55780
scalar_stats,true,1048576,1048576,4294967296,0.000289666,1a3f09fd2ca55780
scalar_stats,true,2097152,32,4294967296,0.00226296,1a3f09fd2045106a
scalar_stats,true,2097152,64,4294967296,0.00124708,1a3f09fd2045106a
scalar_stats,true,2097152,128,4294967296,0.00107467,1a3f09fd2045106a
scalar_stats,true,2097152,256,4294967296,0.000980375,1a3f09fd2045106a
scalar_stats,true,2097152,512,4294967296,0.000837875,1a3f09fd2045106a
scalar_stats,true,2097152,1024,4294967296,0.000677375,1a3f09fd2045106a
scalar_stats,true,2097152,2048,4294967296,0.000577459,1a3f09fd2045106a
scalar_stats,true,2097152,4096,4294967296,0.000540291,1a3f09fd2045106a
scalar_stats,true,2097152,8192,4294967296,0.000506584,1a3f09fd2045106a
scalar_stats,true,2097152,16384,4294967296,0.000496042,1a3f09fd2045106a
scalar_stats,true,2097152,32768,4294967296,0.000490208,1a3f09fd2045106a
scalar_stats,true,2097152,65536,4294967296,0.000515208,1a3f09fd2045106a
scalar_stats,true,2097152,131072,4294967296,0.000488375,1a3f09fd2045106a
scalar_stats,true,2097152,262144,4294967296,0.0004765,1a3f09fd2045106a
scalar_stats,true,2097152,524288,4294967296,0.000511208,1a3f09fd2045106a
scalar_stats,true,2097152,1048576,4294967296,0.000511041,1a3f09fd2045106a
scalar_stats,true,2097152,2097152,4294967296,0.000511,1a3f09fd2045106a
scalar_stats,true,4194304,32,4294967296,0.00257275,1a3f09fd25467d48
scalar_stats,true,4194304,64,4294967296,0.00242371,1a3f09fd25467d48
scalar_stats,true,4194304,128,4294967296,0.00210396,1a3f09fd25467d48
scalar_stats,true,4194304,256,4294967296,0.00207179,1a3f09fd25467d48
scalar_stats,true,4194304,512,4294967296,0.00166304,1a3f09fd25467d48
scalar_stats,true,4194304,1024,4294967296,0.00136329,1a3f09fd25467d48
scalar_stats,true,4194304,2048,4294967296,0.00122313,1a3f09fd25467d48
scalar_stats,true,4194304,4096,4294967296,0.00129371,1a3f09fd25467d48
scalar_stats,true,4194304,8192,4294967296,0.00152967,1a3f09fd25467d48
scalar_stats,true,4194304,16384,4294967296,0.00137667,1a3f09fd25467d48
scalar_stats,true,4194304,32768,4294967296,0.00122096,1a3f09fd25467d48
scalar_stats,true,4194304,65536,4294967296,0.00117929,1a3f09fd25467d48
scalar_stats,true,4194304,131072,4294967296,0.00109008,1a3f09fd25467d48
scalar_stats,true,4194304,262144,4294967296,0.00104004,1a3f09fd25467d48
scalar_stats,true,4194304,524288,4294967296,0.000951459,1a3f09fd25467d48
scalar_stats,true,4194304,1048576,4294967296,0.000950667,1a3f09fd25467d48
scalar_stats,true,4194304,2097152,4294967296,0.00095075,1a3f09fd25467d48
scalar_stats,true,8388608,32,4294967296,0.00505425,1a3f09fd20acebc8
scalar_stats,true,8388608,64,4294967296,0.00478029,1a3f09fd20acebc8
scalar_stats,true,8388608,128,4294967296,0.00405679,1a3f09fd20acebc8
scalar_stats,true,8388608,256,4294967296,0.003824,1a3f09fd20acebc8
scalar_stats,true,8388608,512,4294967296,0.00317504,1a3f09fd20acebc8
scalar_stats,true,8388608,1024,4294967296,0.00261763,1a3f09fd20acebc8
